text,date
"Cape Town CBD is absolutely beautiful and vibrant! The street art is amazing and it's so walkable.",2025-11-14
"Visited Long Street last week. It's expensive but the nightlife is buzzing with energy.",2025-11-13
"Safety concerns in the city center. Felt unsafe walking around at night.",2025-11-12
"Greenmarket Square is charming and has great views of the Table Mountain. Highly recommend!",2025-11-11
"The CBD is clean and accessible. Very convenient location for tourists.",2025-11-10
"Dirty streets and boring shops. Not worth the hype.",2025-11-09
"Amazing restaurants and vibrant atmosphere! Cape Town CBD is fantastic for dining.",2025-11-08
"Be careful with your pockets. There are pickpockets around the CBD area.",2025-11-07
"Scenic views and beautiful architecture make this place really special.",2025-11-06
"Affordable prices and great service. Love the central location!",2025-11-05
